GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
907f10f6-a879-43a8-9136-e943b896144d	1	62920	3409606	808	-0.1678
907f10f6-a879-43a8-9136-e943b896144d	1	3410232	15822848	7513	-0.0982
907f10f6-a879-43a8-9136-e943b896144d	1	15823420	15828515	11	-0.705
907f10f6-a879-43a8-9136-e943b896144d	1	15839166	25256850	5658	-0.0887
907f10f6-a879-43a8-9136-e943b896144d	1	25266637	25320455	24	-2.1221
907f10f6-a879-43a8-9136-e943b896144d	1	25336819	34625993	4942	-0.0941
907f10f6-a879-43a8-9136-e943b896144d	1	34626037	34638890	22	-0.8808
907f10f6-a879-43a8-9136-e943b896144d	1	34648667	72303233	23741	-0.1116
907f10f6-a879-43a8-9136-e943b896144d	1	72303253	72345465	45	-1.6008
907f10f6-a879-43a8-9136-e943b896144d	1	72346221	105470754	20933	-0.1217
907f10f6-a879-43a8-9136-e943b896144d	1	105476583	105479753	17	-2.1118
907f10f6-a879-43a8-9136-e943b896144d	1	105481433	108219804	1952	-0.1177
907f10f6-a879-43a8-9136-e943b896144d	1	108223733	109690352	679	0.2887
907f10f6-a879-43a8-9136-e943b896144d	1	109690415	109697556	12	-1.3177
907f10f6-a879-43a8-9136-e943b896144d	1	109702376	109947719	172	0.3083
907f10f6-a879-43a8-9136-e943b896144d	1	109954422	111826732	1473	0.1165
907f10f6-a879-43a8-9136-e943b896144d	1	111827494	112147704	303	0.3338
907f10f6-a879-43a8-9136-e943b896144d	1	112153343	112154768	25	-2.4787
907f10f6-a879-43a8-9136-e943b896144d	1	112163334	143541857	5163	0.32
907f10f6-a879-43a8-9136-e943b896144d	1	143545399	143893019	120	-0.3442
907f10f6-a879-43a8-9136-e943b896144d	1	143921397	152583230	2320	0.3227
907f10f6-a879-43a8-9136-e943b896144d	1	152583291	152614118	34	1.3882
907f10f6-a879-43a8-9136-e943b896144d	1	152618018	152790593	187	0.2836
907f10f6-a879-43a8-9136-e943b896144d	1	152794991	152795883	15	0.8628
907f10f6-a879-43a8-9136-e943b896144d	1	152796094	158896783	3613	0.3272
907f10f6-a879-43a8-9136-e943b896144d	1	158898711	158899969	2	1.9995
907f10f6-a879-43a8-9136-e943b896144d	1	158905028	164182165	3623	0.3192
907f10f6-a879-43a8-9136-e943b896144d	1	164184164	164184631	4	-0.4277
907f10f6-a879-43a8-9136-e943b896144d	1	164184677	174827267	7569	0.3243
907f10f6-a879-43a8-9136-e943b896144d	1	174827418	174832716	17	-0.8111
907f10f6-a879-43a8-9136-e943b896144d	1	174832734	179470495	3147	0.3289
907f10f6-a879-43a8-9136-e943b896144d	1	179476998	179500620	14	0.7635
907f10f6-a879-43a8-9136-e943b896144d	1	179501222	182806749	2269	0.3113
907f10f6-a879-43a8-9136-e943b896144d	1	182808270	182811915	5	-0.4277
907f10f6-a879-43a8-9136-e943b896144d	1	182814759	189679027	4464	0.3107
907f10f6-a879-43a8-9136-e943b896144d	1	189679353	189679397	2	1.4857
