GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1b9f9344-6812-465a-a4bd-dec5451a060e	1	62920	72303233	42737	0.0074
1b9f9344-6812-465a-a4bd-dec5451a060e	1	72303253	72345465	45	-0.7335
1b9f9344-6812-465a-a4bd-dec5451a060e	1	72346221	103560608	19980	0.0039
1b9f9344-6812-465a-a4bd-dec5451a060e	1	103566616	103613109	20	0.6155
1b9f9344-6812-465a-a4bd-dec5451a060e	1	103613180	103615687	5	0.0381
1b9f9344-6812-465a-a4bd-dec5451a060e	1	103616725	103717410	7	0.6143
1b9f9344-6812-465a-a4bd-dec5451a060e	1	103717617	105470754	918	0.0004
1b9f9344-6812-465a-a4bd-dec5451a060e	1	105476583	105479753	17	-1.6774
1b9f9344-6812-465a-a4bd-dec5451a060e	1	105481433	109690352	2634	0.0059
1b9f9344-6812-465a-a4bd-dec5451a060e	1	109690415	109697556	12	-0.8148
1b9f9344-6812-465a-a4bd-dec5451a060e	1	109702376	121580531	7118	0.0072
1b9f9344-6812-465a-a4bd-dec5451a060e	1	121581632	144432313	137	0.1843
1b9f9344-6812-465a-a4bd-dec5451a060e	1	144442092	187746723	26016	0.0038
1b9f9344-6812-465a-a4bd-dec5451a060e	1	187748429	187752238	2	-1.7507
1b9f9344-6812-465a-a4bd-dec5451a060e	1	187755479	196727607	5944	-0.0025
1b9f9344-6812-465a-a4bd-dec5451a060e	1	196729112	196854187	83	-0.3434
1b9f9344-6812-465a-a4bd-dec5451a060e	1	196854483	236206574	26633	0.0034
1b9f9344-6812-465a-a4bd-dec5451a060e	1	236215409	236219935	2	-1.7991
1b9f9344-6812-465a-a4bd-dec5451a060e	1	236221816	248930189	9130	0.0116
1b9f9344-6812-465a-a4bd-dec5451a060e	2	12784	4169315	2992	0.0047
1b9f9344-6812-465a-a4bd-dec5451a060e	2	4169594	4174842	24	-0.7047
1b9f9344-6812-465a-a4bd-dec5451a060e	2	4174894	10000867	4683	0.005
1b9f9344-6812-465a-a4bd-dec5451a060e	2	10001063	10014845	3	1.3063
1b9f9344-6812-465a-a4bd-dec5451a060e	2	10017647	14212200	3004	-0.0008
1b9f9344-6812-465a-a4bd-dec5451a060e	2	14213786	14220312	31	0.4664
1b9f9344-6812-465a-a4bd-dec5451a060e	2	14220363	14223908	23	0.7782
1b9f9344-6812-465a-a4bd-dec5451a060e	2	14223924	14232571	6	0.3625
1b9f9344-6812-465a-a4bd-dec5451a060e	2	14239203	34306050	13198	0.0057
1b9f9344-6812-465a-a4bd-dec5451a060e	2	34306178	34306708	2	-2.0425
1b9f9344-6812-465a-a4bd-dec5451a060e	2	34306949	34466002	88	0.0572
1b9f9344-6812-465a-a4bd-dec5451a060e	2	34474248	34511990	46	0.6587
1b9f9344-6812-465a-a4bd-dec5451a060e	2	34512096	52511902	12980	-0.0006
1b9f9344-6812-465a-a4bd-dec5451a060e	2	52511964	52554404	45	0.438
1b9f9344-6812-465a-a4bd-dec5451a060e	2	52560811	242147305	112216	0.0042
1b9f9344-6812-465a-a4bd-dec5451a060e	3	20930	46761844	33156	0.0038
1b9f9344-6812-465a-a4bd-dec5451a060e	3	46761943	46808099	33	-0.847
1b9f9344-6812-465a-a4bd-dec5451a060e	3	46817989	47437019	268	-0.0059
