GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
da97f597-b09e-40b2-8517-e98c3e643ce3	1	62920	12792599	6482	-0.49
da97f597-b09e-40b2-8517-e98c3e643ce3	1	12797714	12797904	2	-3.0488
da97f597-b09e-40b2-8517-e98c3e643ce3	1	12799143	12802201	8	-0.3504
da97f597-b09e-40b2-8517-e98c3e643ce3	1	12806954	12867264	19	-0.9552
da97f597-b09e-40b2-8517-e98c3e643ce3	1	12868035	15823420	1817	-0.4572
da97f597-b09e-40b2-8517-e98c3e643ce3	1	15827002	15827430	6	-2.0671
da97f597-b09e-40b2-8517-e98c3e643ce3	1	15827706	16855942	358	-0.4269
da97f597-b09e-40b2-8517-e98c3e643ce3	1	16863509	16898872	15	-1.0704
da97f597-b09e-40b2-8517-e98c3e643ce3	1	16899035	16919514	14	-0.3954
da97f597-b09e-40b2-8517-e98c3e643ce3	1	16919676	16934716	19	-1.0388
da97f597-b09e-40b2-8517-e98c3e643ce3	1	16934753	25256850	5270	-0.4809
da97f597-b09e-40b2-8517-e98c3e643ce3	1	25266637	25320455	24	-1.7697
da97f597-b09e-40b2-8517-e98c3e643ce3	1	25336819	34637867	4954	-0.4729
da97f597-b09e-40b2-8517-e98c3e643ce3	1	34637909	34638890	11	-1.183
da97f597-b09e-40b2-8517-e98c3e643ce3	1	34648667	38565770	2122	-0.4896
da97f597-b09e-40b2-8517-e98c3e643ce3	1	38569271	40122876	847	0.4554
da97f597-b09e-40b2-8517-e98c3e643ce3	1	40125692	56378980	9449	-0.485
da97f597-b09e-40b2-8517-e98c3e643ce3	1	56381764	61597598	3996	-0.5302
da97f597-b09e-40b2-8517-e98c3e643ce3	1	61599596	61974043	299	-0.4501
da97f597-b09e-40b2-8517-e98c3e643ce3	1	61974074	61980253	15	0.0853
da97f597-b09e-40b2-8517-e98c3e643ce3	1	61980375	63435426	977	-0.4959
da97f597-b09e-40b2-8517-e98c3e643ce3	1	63435951	72303253	6053	-0.5439
da97f597-b09e-40b2-8517-e98c3e643ce3	1	72305460	72345465	44	-1.17
da97f597-b09e-40b2-8517-e98c3e643ce3	1	72346221	75585159	1931	-0.572
da97f597-b09e-40b2-8517-e98c3e643ce3	1	75589078	75589169	2	-2.5463
da97f597-b09e-40b2-8517-e98c3e643ce3	1	75593824	105470754	19009	-0.5507
da97f597-b09e-40b2-8517-e98c3e643ce3	1	105476583	105479753	17	0.05
da97f597-b09e-40b2-8517-e98c3e643ce3	1	105481433	110833598	3483	-0.5444
da97f597-b09e-40b2-8517-e98c3e643ce3	1	110834746	110841350	37	-1.054
da97f597-b09e-40b2-8517-e98c3e643ce3	1	110845562	111485492	525	-0.5581
da97f597-b09e-40b2-8517-e98c3e643ce3	1	111490663	121601998	5734	-0.5126
da97f597-b09e-40b2-8517-e98c3e643ce3	1	121705338	143748012	98	0.7576
da97f597-b09e-40b2-8517-e98c3e643ce3	1	143748074	143796140	22	1.2341
da97f597-b09e-40b2-8517-e98c3e643ce3	1	143811517	152583051	2323	0.6396
da97f597-b09e-40b2-8517-e98c3e643ce3	1	152583230	152614100	34	1.838
da97f597-b09e-40b2-8517-e98c3e643ce3	1	152614118	162882970	6461	0.6194
da97f597-b09e-40b2-8517-e98c3e643ce3	1	162883186	162883765	2	-1.2768
da97f597-b09e-40b2-8517-e98c3e643ce3	1	162884204	168417918	4297	0.6257
da97f597-b09e-40b2-8517-e98c3e643ce3	1	168420967	168646028	174	1.0039
da97f597-b09e-40b2-8517-e98c3e643ce3	1	168646680	168891017	236	0.5858
da97f597-b09e-40b2-8517-e98c3e643ce3	1	168895885	168895926	2	-0.6582
da97f597-b09e-40b2-8517-e98c3e643ce3	1	168896238	169247699	322	0.6004
da97f597-b09e-40b2-8517-e98c3e643ce3	1	169264736	169272528	7	1.3439
da97f597-b09e-40b2-8517-e98c3e643ce3	1	169273163	170098322	621	0.5815
da97f597-b09e-40b2-8517-e98c3e643ce3	1	170099244	174827267	2899	1.1483
da97f597-b09e-40b2-8517-e98c3e643ce3	1	174827418	174832716	17	-1.0733
da97f597-b09e-40b2-8517-e98c3e643ce3	1	174832734	175734243	678	1.0764
