GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
05cc8716-27bb-48f1-8bf7-563a728a1873	1	62920	98588	12	-1.0728
05cc8716-27bb-48f1-8bf7-563a728a1873	1	98602	9002404	4505	-0.03
05cc8716-27bb-48f1-8bf7-563a728a1873	1	9002893	9007601	2	-1.76
05cc8716-27bb-48f1-8bf7-563a728a1873	1	9007994	16488499	4117	-0.0269
05cc8716-27bb-48f1-8bf7-563a728a1873	1	16489035	16617327	21	-0.536
05cc8716-27bb-48f1-8bf7-563a728a1873	1	16627347	16855942	45	-0.0366
05cc8716-27bb-48f1-8bf7-563a728a1873	1	16863509	16956580	59	-0.6098
05cc8716-27bb-48f1-8bf7-563a728a1873	1	16958425	25284629	5270	-0.0314
05cc8716-27bb-48f1-8bf7-563a728a1873	1	25284961	25301974	5	-0.6236
05cc8716-27bb-48f1-8bf7-563a728a1873	1	25318693	25319167	2	-1.9113
05cc8716-27bb-48f1-8bf7-563a728a1873	1	25319693	34626073	4953	-0.0327
05cc8716-27bb-48f1-8bf7-563a728a1873	1	34637053	34638890	20	-0.732
05cc8716-27bb-48f1-8bf7-563a728a1873	1	34648667	72290430	23746	-0.0323
05cc8716-27bb-48f1-8bf7-563a728a1873	1	72290459	72297687	8	-0.8698
05cc8716-27bb-48f1-8bf7-563a728a1873	1	72302735	72345465	48	0.5957
05cc8716-27bb-48f1-8bf7-563a728a1873	1	72346221	108187137	22896	-0.0355
05cc8716-27bb-48f1-8bf7-563a728a1873	1	108191613	108192255	2	-5.688
05cc8716-27bb-48f1-8bf7-563a728a1873	1	108194874	109690640	700	-0.0524
05cc8716-27bb-48f1-8bf7-563a728a1873	1	109690705	109691788	4	-1.0926
05cc8716-27bb-48f1-8bf7-563a728a1873	1	109691933	111385772	1328	-0.0321
05cc8716-27bb-48f1-8bf7-563a728a1873	1	111386515	111390609	5	-1.1268
05cc8716-27bb-48f1-8bf7-563a728a1873	1	111393046	112147704	620	-0.0418
