GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f59ae88-4484-416f-a5aa-ed447d03f195	1	3301765	108071765	60500	0.0146
5f59ae88-4484-416f-a5aa-ed447d03f195	1	108072183	108072902	2	-1.4909
5f59ae88-4484-416f-a5aa-ed447d03f195	1	108072993	247650984	68359	0.016
5f59ae88-4484-416f-a5aa-ed447d03f195	2	480597	53466481	31590	0.0152
5f59ae88-4484-416f-a5aa-ed447d03f195	2	53467625	53467946	2	-1.5613
5f59ae88-4484-416f-a5aa-ed447d03f195	2	53467989	241537572	99749	0.0162
5f59ae88-4484-416f-a5aa-ed447d03f195	3	2170634	77693752	44703	0.017
5f59ae88-4484-416f-a5aa-ed447d03f195	3	77693886	77694150	2	-1.5647
5f59ae88-4484-416f-a5aa-ed447d03f195	3	77694590	197812401	61793	0.0162
5f59ae88-4484-416f-a5aa-ed447d03f195	4	1059384	187842528	102691	0.0149
5f59ae88-4484-416f-a5aa-ed447d03f195	5	913983	180934240	100423	0.0155
5f59ae88-4484-416f-a5aa-ed447d03f195	6	1011760	128755106	71142	0.0128
5f59ae88-4484-416f-a5aa-ed447d03f195	6	128755270	128758120	2	-1.8084
5f59ae88-4484-416f-a5aa-ed447d03f195	6	128758198	170596889	25363	0.0108
5f59ae88-4484-416f-a5aa-ed447d03f195	7	664936	158592540	81419	0.0145
5f59ae88-4484-416f-a5aa-ed447d03f195	8	667625	144182542	81676	0.0163
5f59ae88-4484-416f-a5aa-ed447d03f195	9	789794	111570485	52377	0.0142
5f59ae88-4484-416f-a5aa-ed447d03f195	9	111570854	111571024	2	-1.9494
5f59ae88-4484-416f-a5aa-ed447d03f195	9	111576361	138044505	15677	0.0175
5f59ae88-4484-416f-a5aa-ed447d03f195	10	366509	133411599	80792	0.0136
5f59ae88-4484-416f-a5aa-ed447d03f195	11	456012	134272740	77032	0.0134
5f59ae88-4484-416f-a5aa-ed447d03f195	12	780472	132605822	73848	0.0138
5f59ae88-4484-416f-a5aa-ed447d03f195	13	18874255	81137787	35944	0.0133
5f59ae88-4484-416f-a5aa-ed447d03f195	13	81138505	81147625	9	-0.8665
5f59ae88-4484-416f-a5aa-ed447d03f195	13	81149355	114226675	20578	0.0138
5f59ae88-4484-416f-a5aa-ed447d03f195	14	20033191	105533894	49476	0.0137
5f59ae88-4484-416f-a5aa-ed447d03f195	15	23437561	59427594	19519	0.0137
5f59ae88-4484-416f-a5aa-ed447d03f195	15	59431054	59431066	2	-1.3956
5f59ae88-4484-416f-a5aa-ed447d03f195	15	59434411	62624537	2499	0.0144
5f59ae88-4484-416f-a5aa-ed447d03f195	15	62625815	62626236	2	1.4123
5f59ae88-4484-416f-a5aa-ed447d03f195	15	62626571	101344124	22498	0.0123
5f59ae88-4484-416f-a5aa-ed447d03f195	16	603333	50407297	16158	0.0189
5f59ae88-4484-416f-a5aa-ed447d03f195	16	50409289	50415876	8	-1.0514
5f59ae88-4484-416f-a5aa-ed447d03f195	16	50421029	82877450	21271	0.0139
5f59ae88-4484-416f-a5aa-ed447d03f195	16	82878618	82878769	2	-1.3213
5f59ae88-4484-416f-a5aa-ed447d03f195	16	82878966	86328208	2028	0.0175
5f59ae88-4484-416f-a5aa-ed447d03f195	16	86330701	86332395	2	-1.3383
5f59ae88-4484-416f-a5aa-ed447d03f195	16	86333583	87368138	1004	0.0153
5f59ae88-4484-416f-a5aa-ed447d03f195	16	87370769	87370784	2	-1.211
5f59ae88-4484-416f-a5aa-ed447d03f195	16	87371254	89317317	513	0.0361
5f59ae88-4484-416f-a5aa-ed447d03f195	17	1074619	82959812	37122	0.0135
5f59ae88-4484-416f-a5aa-ed447d03f195	18	326691	60530167	32769	0.0134
5f59ae88-4484-416f-a5aa-ed447d03f195	18	60532155	60532348	2	-1.3134
5f59ae88-4484-416f-a5aa-ed447d03f195	18	60532507	79349796	9904	0.0061
5f59ae88-4484-416f-a5aa-ed447d03f195	19	283868	58370362	24058	0.015
5f59ae88-4484-416f-a5aa-ed447d03f195	20	472817	63588502	37378	0.0155
5f59ae88-4484-416f-a5aa-ed447d03f195	21	13974127	46262057	20459	0.0106
5f59ae88-4484-416f-a5aa-ed447d03f195	22	16934932	27196793	3264	0.0142
5f59ae88-4484-416f-a5aa-ed447d03f195	22	27198136	27198149	2	-1.5948
5f59ae88-4484-416f-a5aa-ed447d03f195	22	27198218	48940621	13752	0.0154
5f59ae88-4484-416f-a5aa-ed447d03f195	X	3236359	155677414	63592	0.0154
