GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b29cffe7-2824-45ee-be53-f6008472bcf6	1	62920	98588	12	-1.1065
b29cffe7-2824-45ee-be53-f6008472bcf6	1	98602	3375476	778	-0.1293
b29cffe7-2824-45ee-be53-f6008472bcf6	1	3377665	15823420	7543	0.0073
b29cffe7-2824-45ee-be53-f6008472bcf6	1	15827002	15827430	6	-2.0297
b29cffe7-2824-45ee-be53-f6008472bcf6	1	15827706	19567246	2294	0.0087
b29cffe7-2824-45ee-be53-f6008472bcf6	1	19569726	19573043	3	-1.3436
b29cffe7-2824-45ee-be53-f6008472bcf6	1	19579152	72284670	32124	0.0154
b29cffe7-2824-45ee-be53-f6008472bcf6	1	72290430	72297687	9	-0.7294
b29cffe7-2824-45ee-be53-f6008472bcf6	1	72302735	72345465	48	0.455
b29cffe7-2824-45ee-be53-f6008472bcf6	1	72346221	152583051	33189	0.0158
b29cffe7-2824-45ee-be53-f6008472bcf6	1	152583230	152614118	35	-1.8423
b29cffe7-2824-45ee-be53-f6008472bcf6	1	152618018	152789532	171	-0.0172
b29cffe7-2824-45ee-be53-f6008472bcf6	1	152789570	152790593	16	0.3227
b29cffe7-2824-45ee-be53-f6008472bcf6	1	152794991	152795447	9	0.7273
b29cffe7-2824-45ee-be53-f6008472bcf6	1	152795471	189679027	24739	0.022
b29cffe7-2824-45ee-be53-f6008472bcf6	1	189679353	189679397	2	-1.7923
b29cffe7-2824-45ee-be53-f6008472bcf6	1	189682917	196762956	4742	0.0247
b29cffe7-2824-45ee-be53-f6008472bcf6	1	196769493	196829534	47	-0.4676
b29cffe7-2824-45ee-be53-f6008472bcf6	1	196829693	248930189	35823	0.0146
b29cffe7-2824-45ee-be53-f6008472bcf6	2	12784	3881688	2783	-0.0396
b29cffe7-2824-45ee-be53-f6008472bcf6	2	3882332	34476516	21298	0.0139
b29cffe7-2824-45ee-be53-f6008472bcf6	2	34476558	34511990	43	0.4859
b29cffe7-2824-45ee-be53-f6008472bcf6	2	34512096	39948497	3916	0.0155
b29cffe7-2824-45ee-be53-f6008472bcf6	2	39948920	39949455	2	-1.397
b29cffe7-2824-45ee-be53-f6008472bcf6	2	39949996	41154236	1006	0.0295
