GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	62920	103616762	62838	0.0034
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	103620877	103717410	5	1.4412
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	103717617	105458321	910	-0.0171
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	105458738	105479753	24	0.5468
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	105481433	109684695	2635	0.0009
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	109684893	109697556	14	-1.2898
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	109702376	121705338	7137	0.003
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	143459641	143714665	95	0.2645
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	143714703	145901901	153	0.0019
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	145902527	145904064	2	-1.6818
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	145905223	152583051	2187	0.0143
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	152583230	152613762	31	-1.716
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	152613802	152787202	170	-0.0037
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	152789447	152796224	37	0.4332
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	152801429	169247699	11277	0.0061
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	169264736	169272528	7	-4.0808
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	169273163	189447191	13276	0.0024
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	189448449	189463694	11	-1.1074
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	189468293	196762480	4893	0.0003
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	196762956	196801565	39	-0.467
a20a0a7b-90ff-4427-91f6-72ebf8c7b61e	1	196802150	196936029	81	-1.1309
